signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-05-05,Long,2,1,FLAT,,FILLED,1,2023-05-08,True,False,breakout,SHOP,skip_candle_range_atr_3
2023-05-08,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,SHOP,skip_candle_range_atr_3
2023-07-13,Long,2,1,FLAT,,FILLED,2,2023-07-14,True,False,breakout,SHOP,skip_candle_range_atr_3
2024-01-09,Long,2,1,FLAT,,FILLED,3,2024-01-10,True,False,breakout,SHOP,skip_candle_range_atr_3
2024-01-10,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,SHOP,skip_candle_range_atr_3
2024-10-04,Long,2,1,FLAT,,FILLED,4,2024-10-07,True,False,breakout,SHOP,skip_candle_range_atr_3
2024-11-07,Long,2,1,FLAT,,FILLED,5,2024-11-08,True,False,breakout,SHOP,skip_candle_range_atr_3
2025-01-06,Long,2,1,FLAT,,FILLED,6,2025-01-07,True,False,breakout,SHOP,skip_candle_range_atr_3
2025-02-13,Long,2,1,FLAT,,FILLED,7,2025-02-14,True,False,breakout,SHOP,skip_candle_range_atr_3
2025-09-18,Long,2,1,FLAT,,FILLED,8,2025-09-19,True,False,breakout,SHOP,skip_candle_range_atr_3
2025-09-19,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,SHOP,skip_candle_range_atr_3
2025-09-22,Long,2,1,Long,8,IGNORED_POSITION_OPEN,,,,,breakout,SHOP,skip_candle_range_atr_3
2025-10-03,Long,2,1,FLAT,,FILLED,9,2025-10-06,True,False,breakout,SHOP,skip_candle_range_atr_3
2025-10-27,Long,2,1,FLAT,,FILLED,10,2025-10-28,True,False,breakout,SHOP,skip_candle_range_atr_3
