signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-01-25,Long,2,1,FLAT,,FILLED,1,2023-01-26,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
2023-01-26,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2023-02-02,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2023-12-11,Long,2,1,FLAT,,FILLED,2,2023-12-12,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
2024-01-18,Long,2,1,FLAT,,FILLED,3,2024-01-19,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
2024-01-19,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2024-01-22,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2024-01-23,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2025-10-01,Long,2,1,FLAT,,FILLED,4,2025-10-02,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
2025-10-02,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2025-12-01,Long,2,1,FLAT,,FILLED,5,2025-12-02,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
2026-01-15,Long,2,1,FLAT,,FILLED,6,2026-01-16,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
2026-01-16,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2026-01-22,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2026-01-26,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2026-01-27,Long,2,1,Long,6,IGNORED_POSITION_OPEN,,,,,breakout,ASML,skip_distance_to_upper_band_atr_1
2026-04-14,Long,2,1,FLAT,,FILLED,7,2026-04-15,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
2026-06-11,Long,2,1,FLAT,,FILLED,8,2026-06-12,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
2026-06-30,Long,2,1,FLAT,,FILLED,9,2026-07-01,True,False,breakout,ASML,skip_distance_to_upper_band_atr_1
