signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-12-14,Long,2,1,FLAT,,FILLED,1,2023-12-15,True,False,breakout,DDOG,skip_distance_to_upper_band_atr_1
2023-12-15,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,DDOG,skip_distance_to_upper_band_atr_1
2024-01-16,Long,2,1,FLAT,,FILLED,2,2024-01-17,True,False,breakout,DDOG,skip_distance_to_upper_band_atr_1
2024-01-17,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,DDOG,skip_distance_to_upper_band_atr_1
2025-10-31,Long,2,1,FLAT,,FILLED,3,2025-11-03,True,False,breakout,DDOG,skip_distance_to_upper_band_atr_1
2026-01-26,Long,2,1,FLAT,,FILLED,4,2026-01-27,True,False,breakout,DDOG,skip_distance_to_upper_band_atr_1
2026-01-27,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,DDOG,skip_distance_to_upper_band_atr_1
2026-05-29,Long,2,1,FLAT,,FILLED,5,2026-06-01,True,False,breakout,DDOG,skip_distance_to_upper_band_atr_1
2026-06-26,Long,2,1,FLAT,,FILLED,6,2026-06-29,True,False,breakout,DDOG,skip_distance_to_upper_band_atr_1
2026-08-04,Long,2,1,FLAT,,FILLED,7,2026-08-05,True,False,breakout,DDOG,skip_distance_to_upper_band_atr_1
