signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-11-02,Long,2,1,FLAT,,FILLED,1,2021-11-03,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2024-01-02,Long,2,1,FLAT,,FILLED,2,2024-01-03,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2024-04-22,Long,2,1,FLAT,,FILLED,3,2024-04-23,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2024-04-23,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,GS,skip_distance_to_upper_band_atr_1
2025-01-23,Long,2,1,FLAT,,FILLED,4,2025-01-24,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2025-05-13,Long,2,1,FLAT,,FILLED,5,2025-05-14,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2025-05-14,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GS,skip_distance_to_upper_band_atr_1
2025-05-15,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GS,skip_distance_to_upper_band_atr_1
2025-06-18,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GS,skip_distance_to_upper_band_atr_1
2025-06-20,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GS,skip_distance_to_upper_band_atr_1
2025-06-23,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,GS,skip_distance_to_upper_band_atr_1
2025-08-12,Long,2,1,FLAT,,FILLED,6,2025-08-13,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2025-09-10,Long,2,1,FLAT,,FILLED,7,2025-09-11,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2026-01-02,Long,2,1,FLAT,,FILLED,8,2026-01-05,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2026-06-04,Long,2,1,FLAT,,FILLED,9,2026-06-05,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2026-07-14,Long,2,1,FLAT,,FILLED,10,2026-07-15,True,False,breakout,GS,skip_distance_to_upper_band_atr_1
2026-07-15,Long,2,1,Long,10,IGNORED_POSITION_OPEN,,,,,breakout,GS,skip_distance_to_upper_band_atr_1
