signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-02-01,Long,2,1,FLAT,,FILLED,1,2023-02-02,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
2023-02-02,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,MS,skip_distance_to_upper_band_atr_1
2023-02-14,Long,2,1,Long,1,IGNORED_POSITION_OPEN,,,,,breakout,MS,skip_distance_to_upper_band_atr_1
2024-09-20,Long,2,1,FLAT,,FILLED,2,2024-09-23,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
2025-01-06,Long,2,1,FLAT,,FILLED,3,2025-01-07,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
2025-06-23,Long,2,1,FLAT,,FILLED,4,2025-06-24,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
2025-06-24,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,MS,skip_distance_to_upper_band_atr_1
2025-06-25,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,MS,skip_distance_to_upper_band_atr_1
2025-10-15,Long,2,1,FLAT,,FILLED,5,2025-10-16,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
2025-11-12,Long,2,1,FLAT,,FILLED,6,2025-11-13,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
2026-03-23,Long,2,1,FLAT,,FILLED,7,2026-03-24,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
2026-05-20,Long,2,1,FLAT,,FILLED,8,2026-05-21,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
2026-06-17,Long,2,1,FLAT,,FILLED,9,2026-06-18,True,False,breakout,MS,skip_distance_to_upper_band_atr_1
