signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-03-31,Long,2,1,FLAT,,FILLED,1,2023-04-03,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2023-05-09,Long,2,1,FLAT,,FILLED,2,2023-05-10,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2023-05-25,Long,2,1,FLAT,,FILLED,3,2023-05-26,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2023-05-26,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,PANW,skip_distance_to_upper_band_atr_1
2023-06-16,Long,2,1,Long,3,IGNORED_POSITION_OPEN,,,,,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-01-10,Long,2,1,FLAT,,FILLED,4,2024-01-11,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-01-16,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-05-15,Long,2,1,FLAT,,FILLED,5,2024-05-16,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-05-16,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-05-17,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-05-20,Long,2,1,Long,5,IGNORED_POSITION_OPEN,,,,,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-06-27,Long,2,1,FLAT,,FILLED,6,2024-06-28,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-08-13,Long,2,1,FLAT,,FILLED,7,2024-08-14,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2024-11-06,Long,2,1,FLAT,,FILLED,8,2024-11-07,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2025-02-13,Long,2,1,FLAT,,FILLED,9,2025-02-14,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2025-09-19,Long,2,1,FLAT,,FILLED,10,2025-09-22,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2025-10-06,Long,2,1,FLAT,,FILLED,11,2025-10-07,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2026-06-01,Long,2,1,FLAT,,FILLED,12,2026-06-02,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2026-06-18,Long,2,1,FLAT,,FILLED,13,2026-06-22,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
2026-08-04,Long,2,1,FLAT,,FILLED,14,2026-08-05,True,False,breakout,PANW,skip_distance_to_upper_band_atr_1
