trade_id,direction,signal_time,signal_available_at,entry_time,entry_price,atr_at_entry,initial_stop,active_module_mask,module_score,exit_time,exit_price,exit_reason,bars_held,closed,censored_at_end,return_pct,module,symbol,scenario,partition,year,holding_bucket
1,Long,2021-11-23,signal bar close,2021-11-24,48.57666778564453,0.7365696871148653,47.47181325497223,1,1,2021-11-29,48.33333206176758,TREND_EXIT,3,True,False,-0.005009312803231469,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2021,1-3
2,Long,2022-12-21,signal bar close,2022-12-22,48.25666809082031,0.8514325681946675,46.97951923852831,1,1,2022-12-23,47.68333435058594,TREND_EXIT,2,True,False,-0.011880922635506996,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2022,1-3
3,Long,2023-06-02,signal bar close,2023-06-05,49.790000915527344,0.6785359771492409,48.77219694980348,1,1,2023-06-16,51.79080779416558,ATR_STOP,10,True,False,0.040184913473545913,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2023,6-10
4,Long,2023-08-18,signal bar close,2023-08-21,52.543331146240234,0.8140409438415436,51.32226973047792,1,1,2023-09-06,53.304912413113804,ATR_STOP,12,True,False,0.014494346861144258,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2023,11-15
5,Long,2023-10-13,signal bar close,2023-10-16,53.51333236694336,0.7567002853163428,52.37828193896885,1,1,2023-10-20,53.05960983180792,ATR_STOP,5,True,False,-0.008478682135215299,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2023,4-5
6,Long,2023-10-23,signal bar close,2023-10-24,53.79999923706055,0.7416694433814611,52.68749507198836,1,1,2023-10-27,53.6690753367983,ATR_STOP,4,True,False,-0.0024335297791613364,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2023,4-5
7,Long,2024-08-09,signal bar close,2024-08-12,68.33999633789062,1.092207578204701,66.70168497058357,1,1,2024-08-13,67.5626402075829,ATR_STOP,2,True,False,-0.011374834240029386,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2024,1-3
8,Long,2025-04-10,signal bar close,2025-04-11,90.68000030517578,3.411482782379747,85.56277613160616,1,1,2025-04-16,91.13022135656367,ATR_STOP,4,True,False,0.004964943205477468,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2025,4-5
9,Long,2025-09-03,signal bar close,2025-09-04,99.91000366210938,1.6250502769912931,97.47242824662243,1,1,2025-09-18,103.60181988718254,ATR_STOP,11,True,False,0.03695141717298611,pullback,WMT,skip_bb_width_5,IN-SAMPLE,2025,11-15
10,Long,2025-11-11,signal bar close,2025-11-12,103.3499984741211,1.7284195259053268,100.7573691852631,1,1,2025-11-14,100.19999694824219,TREND_AND_STOP_AT_OPEN,3,True,False,-0.030478970221442858,pullback,WMT,skip_bb_width_5,ENTRY HOLDOUT / EXIT-USED HISTORY,2025,1-3
