signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2021-12-21,Long,1,1,FLAT,,FILLED,1,2021-12-22,True,False,pullback,NVDA,skip_candle_range_atr_4
2023-11-02,Long,1,1,FLAT,,FILLED,2,2023-11-03,True,False,pullback,NVDA,skip_candle_range_atr_4
2023-11-03,Long,1,1,Long,2,IGNORED_POSITION_OPEN,,,,,pullback,NVDA,skip_candle_range_atr_4
2024-04-25,Long,1,1,FLAT,,FILLED,3,2024-04-26,True,False,pullback,NVDA,skip_candle_range_atr_4
2024-08-13,Long,1,1,FLAT,,FILLED,4,2024-08-14,True,False,pullback,NVDA,skip_candle_range_atr_4
2024-09-11,Long,1,1,FLAT,,FILLED,5,2024-09-12,True,False,pullback,NVDA,skip_candle_range_atr_4
2025-09-18,Long,1,1,FLAT,,FILLED,6,2025-09-19,True,False,pullback,NVDA,skip_candle_range_atr_4
2026-04-08,Long,1,1,FLAT,,FILLED,7,2026-04-09,True,False,pullback,NVDA,skip_candle_range_atr_4
2026-06-08,Long,1,1,FLAT,,FILLED,8,2026-06-09,True,False,pullback,NVDA,skip_candle_range_atr_4
2026-07-08,Long,1,1,FLAT,,FILLED,9,2026-07-09,True,False,pullback,NVDA,skip_candle_range_atr_4
