signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2023-11-02,Long,1,1,FLAT,,FILLED,1,2023-11-03,True,False,pullback,NVDA,skip_bb_width_5
2023-11-03,Long,1,1,Long,1,IGNORED_POSITION_OPEN,,,,,pullback,NVDA,skip_bb_width_5
2024-04-25,Long,1,1,FLAT,,FILLED,2,2024-04-26,True,False,pullback,NVDA,skip_bb_width_5
2025-09-18,Long,1,1,FLAT,,FILLED,3,2025-09-19,True,False,pullback,NVDA,skip_bb_width_5
2026-04-08,Long,1,1,FLAT,,FILLED,4,2026-04-09,True,False,pullback,NVDA,skip_bb_width_5
2026-06-08,Long,1,1,FLAT,,FILLED,5,2026-06-09,True,False,pullback,NVDA,skip_bb_width_5
2026-07-08,Long,1,1,FLAT,,FILLED,6,2026-07-09,True,False,pullback,NVDA,skip_bb_width_5
2024-05-24,Long,1,1,FLAT,,FILLED,1,2024-05-28,True,False,pullback,AMD,skip_bb_width_5
2022-03-02,Long,1,1,FLAT,,FILLED,1,2022-03-03,True,False,pullback,MU,skip_bb_width_5
2023-11-01,Long,1,1,FLAT,,FILLED,2,2023-11-02,True,False,pullback,MU,skip_bb_width_5
2024-02-22,Long,1,1,FLAT,,FILLED,3,2024-02-23,True,False,pullback,MU,skip_bb_width_5
2025-08-07,Long,1,1,FLAT,,FILLED,4,2025-08-08,True,False,pullback,MU,skip_bb_width_5
2022-02-15,Long,1,1,FLAT,,FILLED,1,2022-02-16,True,False,pullback,AVGO,skip_bb_width_5
2022-02-25,Long,1,1,FLAT,,FILLED,2,2022-02-28,True,False,pullback,AVGO,skip_bb_width_5
2022-03-09,Long,1,1,FLAT,,FILLED,3,2022-03-10,True,False,pullback,AVGO,skip_bb_width_5
2022-03-15,Long,1,1,FLAT,,FILLED,4,2022-03-16,True,False,pullback,AVGO,skip_bb_width_5
2023-08-21,Long,1,1,FLAT,,FILLED,5,2023-08-22,True,False,pullback,AVGO,skip_bb_width_5
2024-04-25,Long,1,1,FLAT,,FILLED,6,2024-04-26,True,False,pullback,AVGO,skip_bb_width_5
2024-06-04,Long,1,1,FLAT,,FILLED,7,2024-06-05,True,False,pullback,AVGO,skip_bb_width_5
2024-06-05,Long,1,1,Long,7,IGNORED_POSITION_OPEN,,,,,pullback,AVGO,skip_bb_width_5
2024-08-13,Long,1,1,FLAT,,FILLED,8,2024-08-14,True,False,pullback,AVGO,skip_bb_width_5
2026-07-09,Long,1,1,FLAT,,FILLED,9,2026-07-10,True,False,pullback,AVGO,skip_bb_width_5
2023-08-21,Long,1,1,FLAT,,FILLED,1,2023-08-22,True,False,pullback,MRVL,skip_bb_width_5
2023-12-11,Long,1,1,FLAT,,FILLED,2,2023-12-12,True,False,pullback,MRVL,skip_bb_width_5
2024-04-24,Long,1,1,FLAT,,FILLED,1,2024-04-25,True,False,pullback,QCOM,skip_bb_width_5
2025-11-28,Long,1,1,FLAT,,FILLED,2,2025-12-01,True,False,pullback,QCOM,skip_bb_width_5
2023-09-08,Long,1,1,FLAT,,FILLED,1,2023-09-11,True,False,pullback,SMCI,skip_bb_width_5
2023-09-13,Long,1,1,FLAT,,FILLED,2,2023-09-14,True,False,pullback,SMCI,skip_bb_width_5
2023-03-01,Long,1,1,FLAT,,FILLED,1,2023-03-02,True,False,pullback,TSM,skip_bb_width_5
2024-04-25,Long,1,1,FLAT,,FILLED,2,2024-04-26,True,False,pullback,TSM,skip_bb_width_5
2024-09-11,Long,1,1,FLAT,,FILLED,3,2024-09-12,True,False,pullback,TSM,skip_bb_width_5
