module,scenario,year,trades,censored,winners,losers,ties,win_rate,mean_winner,median_winner,mean_loser,median_loser,average_return,median_return,expectancy,profit_factor,average_holding,median_holding,worst_return,p05_return,expected_shortfall05,top5_share_gross_profit
breakout,baseline,2021,25,0,6,19,0,0.24,0.03328220856384142,0.01873229938978971,-0.04245396112348273,-0.04565287177665278,-0.024277280398524934,-0.021360495159926107,-0.024277280398524934,0.24756632472652998,8.28,7.0,-0.10933888191320018,-0.0760733019650763,-0.09343323853533242,0.9769502562916014
breakout,baseline,2022,34,0,12,22,0,0.35294117647058826,0.05680469095695936,0.03219103192603101,-0.03255033878194272,-0.031756478360826235,-0.0010132694623302227,-0.00915943562442384,-0.0010132694623302227,0.9518910722613664,11.117647058823529,8.5,-0.09928727415436644,-0.07395134458876339,-0.0932861727078606,0.7757343309942017
breakout,baseline,2023,112,0,47,65,0,0.41964285714285715,0.07510718112119383,0.03297491520671181,-0.04149094192316621,-0.03862984407277825,0.007438627568663443,-0.012768430247553864,0.007438627568663443,1.3089186918596158,13.107142857142858,11.0,-0.13822502620668287,-0.07470160775492567,-0.09689099909293325,0.5455455611591891
breakout,baseline,2024,167,0,79,88,0,0.47305389221556887,0.06559648697689852,0.03592261275129083,-0.041633054849804674,-0.03556261565268093,0.009092297271809406,-0.0037972524447712486,0.009092297271809406,1.414447139819658,12.718562874251496,10.0,-0.1437077899233894,-0.08125779390168215,-0.10268151347446852,0.25152016744710326
breakout,baseline,2025,115,0,44,71,0,0.3826086956521739,0.0720715057395262,0.0492907889911286,-0.04528403972917983,-0.042169318516553145,-0.00038278754984883686,-0.021477284207526592,-0.00038278754984883686,0.9863084652565404,11.808695652173913,10.0,-0.16202942358134653,-0.08153605622139481,-0.11196985404928012,0.32600526098779636
breakout,baseline,2026,94,2,35,59,0,0.3723404255319149,0.08455870997021357,0.04353303278555676,-0.051217179453100566,-0.045906824214916764,-0.0006623270082495445,-0.013887027002933539,-0.0006623270082495445,0.9793968962783812,11.340425531914894,8.0,-0.21953813037602288,-0.09372006510507426,-0.13583164708244005,0.4469281713831135
breakout,breakeven_1,2021,25,0,6,12,7,0.24,0.03328220856384142,0.01873229938978971,-0.03974437818801502,-0.04534948665111005,-0.011089571474925269,0.0,-0.011089571474925269,0.4187033497718392,6.6,5.0,-0.10933888191320018,-0.061661343094814504,-0.08581601447855042,0.9769502562916014
breakout,breakeven_1,2022,42,0,5,18,19,0.11904761904761904,0.06817807572171368,0.03292121755966737,-0.024258970768373182,-0.012020874411573457,-0.002280264171955926,0.0,-0.002280264171955926,0.7806742729511399,3.9523809523809526,2.0,-0.11410916267046789,-0.04157189935171101,-0.06775780522876114,1.0
breakout,breakeven_1,2023,135,0,35,48,52,0.25925925925925924,0.058605004212377666,0.025361569270992756,-0.028115565645478346,-0.0204333974597401,0.0051972444181500555,0.0,0.0051972444181500555,1.5198988386135435,7.007407407407407,4.0,-0.13822502620668287,-0.057945439181349256,-0.08025241746555659,0.5783903186113366
breakout,breakeven_1,2024,195,0,43,79,73,0.2205128205128205,0.06964680142471891,0.04326902811184796,-0.03102776433736459,-0.02015154548392628,0.0027877901467236368,0.0,0.0027877901467236368,1.2217773115979125,6.902564102564103,4.0,-0.1437077899233894,-0.07167477028629479,-0.09296431039125345,0.3695848616390091
